timestamp, memory.used [MiB]
2025/12/11 18:59:38.057, 1 MiB
2025/12/11 18:59:39.057, 1 MiB
2025/12/11 18:59:40.057, 4 MiB
2025/12/11 18:59:41.057, 4 MiB
2025/12/11 18:59:42.057, 4 MiB
2025/12/11 18:59:43.057, 4 MiB
2025/12/11 18:59:44.057, 498 MiB
2025/12/11 18:59:45.058, 498 MiB
2025/12/11 18:59:46.058, 934 MiB
2025/12/11 18:59:47.058, 998 MiB
2025/12/11 18:59:48.058, 1090 MiB
2025/12/11 18:59:49.058, 1090 MiB
2025/12/11 18:59:50.058, 1090 MiB
2025/12/11 18:59:51.058, 1090 MiB
2025/12/11 18:59:52.059, 1076 MiB
2025/12/11 18:59:53.059, 1106 MiB
2025/12/11 18:59:54.059, 1110 MiB
2025/12/11 18:59:55.059, 1208 MiB
2025/12/11 18:59:56.059, 1332 MiB
2025/12/11 18:59:57.059, 1204 MiB
2025/12/11 18:59:58.059, 1228 MiB
2025/12/11 18:59:59.059, 1244 MiB
2025/12/11 19:00:00.059, 1272 MiB
2025/12/11 19:00:01.060, 1312 MiB
2025/12/11 19:00:02.060, 1328 MiB
2025/12/11 19:00:03.060, 1454 MiB
2025/12/11 19:00:04.060, 1518 MiB
2025/12/11 19:00:05.060, 1480 MiB
2025/12/11 19:00:06.060, 1334 MiB
2025/12/11 19:00:07.060, 1468 MiB
2025/12/11 19:00:08.061, 1476 MiB
2025/12/11 19:00:09.061, 1500 MiB
2025/12/11 19:00:10.061, 1332 MiB
2025/12/11 19:00:11.061, 1506 MiB
2025/12/11 19:00:12.061, 1506 MiB
2025/12/11 19:00:13.061, 1506 MiB
2025/12/11 19:00:14.061, 1474 MiB
2025/12/11 19:00:15.062, 1484 MiB
2025/12/11 19:00:16.062, 1448 MiB
2025/12/11 19:00:17.062, 1472 MiB
2025/12/11 19:00:18.062, 1556 MiB
2025/12/11 19:00:19.062, 1604 MiB
2025/12/11 19:00:20.062, 1646 MiB
2025/12/11 19:00:21.062, 1474 MiB
2025/12/11 19:00:22.062, 1520 MiB
2025/12/11 19:00:23.063, 1480 MiB
2025/12/11 19:00:24.063, 1482 MiB
2025/12/11 19:00:25.063, 1542 MiB
2025/12/11 19:00:26.063, 1486 MiB
2025/12/11 19:00:27.063, 1484 MiB
2025/12/11 19:00:28.063, 1484 MiB
2025/12/11 19:00:29.063, 1464 MiB
2025/12/11 19:00:30.064, 1480 MiB
2025/12/11 19:00:31.064, 1480 MiB
2025/12/11 19:00:32.064, 1478 MiB
2025/12/11 19:00:33.064, 1478 MiB
2025/12/11 19:00:34.064, 1478 MiB
2025/12/11 19:00:35.064, 1478 MiB
2025/12/11 19:00:36.064, 1640 MiB
2025/12/11 19:00:37.064, 1652 MiB
2025/12/11 19:00:38.065, 1684 MiB
2025/12/11 19:00:39.065, 1686 MiB
2025/12/11 19:00:40.065, 1702 MiB
2025/12/11 19:00:41.065, 1706 MiB
2025/12/11 19:00:42.065, 1710 MiB
2025/12/11 19:00:43.065, 1708 MiB
2025/12/11 19:00:44.065, 1724 MiB
